sentiment,text
0,Kaos pad shitting bed (as Ash says)... new one $400...      Maybe i get artist discount?  Please Adam? Please Korg?
0,mmm No logro instalar el twhirl 
0,@RebeccaHappy I have a lot of Earth Day &amp; #conservation pages &amp; books in my website. Sadly the elections have dominated everything 
0,khanhtoan: Socbay was hacked by Vietnamese hacker  http://socbay.com/ )
1,I love that people don't know your on twitter unless you tweet. Cos im kinda/really addicted 
0,@McRiddlahpants id love to do more shows but the money factor is holdin me back from achievin that goal  lol boooo
0,I need a milk shake running a fever  
0,"@felicityfuller Still not left yet, it's cold &amp; windy out there, do you think Lola would mind awfully if I didn't take her.......probably "
0,@jinnpod you're near and yes. All sound but no action... 
0,"I'm going crazy, i'm listening to Avril's Complicated and it's reminding me of those days.  HAAY. I miss childhood. )"
0,"@LisaLavie Awww, the pic didn't show up here  *pouts"
0,@iSpyLevis so close but not enough time to get there! 
0,@stinginthetail This is de-caf! Although I've long thought that the addictive part of coffee isn't just the caf 
0,@drewkill no...I guess I don't.  
0,set her alarm for 9am...so she could study math all day. Trying hard not to go back to sleep. Still missing Mooch  Bikram yoga at 4:30.
0,: I feel so sorry for what I did a while ago. I shouldn't do that. Mean me.  http://plurk.com/p/yxzbw
1,@kriswak I wish I could. *sigh* Have fun! 
1,@Shan_09 Well i'm telling you 2!  He's lovely! Do it!
1,@midedancer mideeee    this is how you comment people on twitter 
0,I do my homework  That is so boring..... I hear music and bored me
1,Just installed Twitterfox. Yey! Haha. I'm happy 
0,@vintagepolka Ohmygosh. I know!!  It's not fair!
1,@nikki_morris i couldn't believe it when i found it  
1,"@J_Nellie thx  looking forward to go a good and long....! vacation! outside kansas, for once!"
0,failed my math final...  
1,"You just wait, @emmahumphreys you'll be jammin' to it soon! "
0,"@TimCAD: If it makes you feel any better Tim, I spent 3:20 (on a Saturday) doing an English exam. www.rte.ie/exams/english.html "
0,No more Minute Maid cranapple juice. 
1,@QwertyManiac oh... in that case I will watch it  after 99 (not feeling sleepy today). I thought u r being @mehulved (=sarcastic) today ;)
0,"@martinsays @bryanblg @johnblg @paulblg I hate u, ok? why do u have to play Love Drunk live? don't we all have the right to listen to it? "
1,Home in Pittsburgh and my best friends surprised me at dinner for my birthday 
0,"Going to school!   Well it's not that bad, at least Finals are over!  "
0,"@verwon I'm glad you got something, is it helping? My client has registered 2 accounts with Twitter &amp; can't log into either of them "
1,@sookyeong OoO that's hot 
1,http://www.youtube.com/lifeandlevel Jackass meets Kenny vs Spenny...with video games. I love it. Enjoy! Always brings me a smile. 
1,@thatrunnerchick  Well how am I supposed to get from &quot;thatrunnerchick&quot; to your name without a little help! 
0,@jasicles Aww thats a shame  hahaha
